FileName,LayerName,Group,Source,Categorical
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\bio_19_wgs84,Precipitation of coldest quarter,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax1_wgs84,Average Jan. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax2_wgs84,Average Feb. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax3_wgs84,Average March Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax4_wgs84,Average April Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax5_wgs84,Average May Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax6_wgs84,Average June Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax7_wgs84,Average July Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax8_wgs84,Average Aug. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax9_wgs84,Average Sept. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax10_wgs84,Average Oct. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax11_wgs84,Average Nov. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmax12_wgs84,Average Dec. Max. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean1_wgs84,Average Jan. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean2_wgs84,Average Feb. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean3_wgs84,Average March Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean4_wgs84,Average April Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean5_wgs84,Average May Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean6_wgs84,Average June Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean7_wgs84,Average July Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean8_wgs84,Average Aug. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean9_wgs84,Average Sept. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean10_wgs84,Average Oct. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean11_wgs84,Average Nov. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmean12_wgs84,Average Dec. Mean Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin1_wgs84,Average Jan. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin2_wgs84,Average Feb. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin3_wgs84,Average March Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin4_wgs84,Average April Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin5_wgs84,Average May Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin6_wgs84,Average June Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin7_wgs84,Average July Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin8_wgs84,Average Aug. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin9_wgs84,Average Sept. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin10_wgs84,Average Oct. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin11_wgs84,Average Nov. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\tmin12_wgs84,Average Dec. Min. Temperature,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt1_wgs84,Average Jan. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt2_wgs84,Average Feb. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt3_wgs84,Average March Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt4_wgs84,Average April Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt5_wgs84,Average May Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt6_wgs84,Average June Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt7_wgs84,Average July Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt8_wgs84,Average Aug. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt9_wgs84,Average Sept. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt10_wgs84,Average Oct. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt11_wgs84,Average Nov. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\DAYMET\DAYMET_WGS84\ppt12_wgs84,Average Dec. Precipitation,Climate,"Daymet (1980-1997) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_1,Average Jan. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_2,Average Feb. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_3,Average March Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_4,Average April Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_5,Average May Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_6,Average June Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_7,Average July Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_8,Average Aug. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_9,Average Sept. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_10,Average Oct. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_11,Average Nov. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MaxTempAvg1950-2000\tmax_30s_esri\tmax\tmax_12,Average Dec. Max. Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_1,Average Jan. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_2,Average Feb. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_3,Average March Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_4,Average April Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_5,Average May Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_6,Average June Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_7,Average July Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_8,Average Aug. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_9,Average Sept. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_10,Average Oct. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_11,Average Nov. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MeanTempAvg1950-2000\tmean_30s_esri\tmean\tmean_12,Average Dec. Mean Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_1,Average Jan. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_2,Average Feb. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_3,Average March Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_4,Average April Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_5,Average May Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_6,Average June Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_7,Average July Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_8,Average Aug. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_9,Average Sept. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_10,Average Oct. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_11,Average Nov. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\MinTempAvg1950-2000\tmin_30s_esri\tmin\tmin_12,Average Dec. Min Temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_1,Average Jan. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_2,Average Feb. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_3,Average March Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_4,Average April Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_5,Average May Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_6,Average June Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_7,Average July Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_8,Average Aug. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_9,Average Sept. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_10,Average Oct. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_11,Average Nov. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\TotPrecipAvg1950-2000\prec_30s_esri\prec\prec_12,Average Dec. Precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_1,Annual mean temperature,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_2,Mean diurnal range,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_3,Isothermality,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_4,Temperature seasonality,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_5,Max. temperature of warmest month,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_6,Min. temperature of coldest month,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_7,Temperature annual range,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_8,Mean temperature of wettest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_9,Mean temperature of driest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_10,Mean temperature of warmest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_11,Mean temperature of coldest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_12,Annual precipitation,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_13,Precipitation of wettest month,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_14,Precipitation of driest month,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_15,Precipitation seasonality,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_16,Precipitation of wettest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_17,Precipitation of driest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_18,Precipitiation of warmest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\WorldClim\BioclimaticVariables\bio_30s_esri\bio\bio_19,Precipitation of coldest quarter,Climate,"WorldClim (1950-2000) Normals, 1km.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_01.img,Average Jan. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_02.img,Average Feb. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_03.img,Average March Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_04.img,Average April Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_05.img,Average May Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_06.img,Average June Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_07.img,Average July Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_08.img,Average Aug. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_09.img,Average Sept. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_10.img,Average Oct. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_11.img,Average Nov. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\ppt_1971_2000_12.img,Average Dec. Precipitation,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\tmax_1971_2000_01.img,Average Jan. Max. Temperature,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\tmax_1971_2000_02.img,Average Feb. Max. Temperature,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\tmax_1971_2000_03.img,Average March Max. Temperature,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\tmax_1971_2000_04.img,Average April Max. Temperature,Climate,"PRISM (1971-2000) Normals, 800 m.",N
K:\GIS_LIBRARY\Climate\PRISM\OregonStateUniversity_Normal_1971_2000_800m\Derived\Input_1971_2000\tmax_1971_2000_05.img,Average May Max. Temperature,Climate,"PRISM (1971-2000) Normals, 800 m.",N
